CustomerKey,CustomerID,Country
0,,Unknown
1,13085,United Kingdom
2,13078,United Kingdom
3,15362,United Kingdom
4,18102,United Kingdom
5,12682,France
6,18087,United Kingdom
7,13635,United Kingdom
8,14110,United Kingdom
9,17519,United Kingdom
10,13758,United Kingdom
11,15413,United Kingdom
12,16321,Australia
13,17592,United Kingdom
14,16167,United Kingdom
15,17865,United Kingdom
16,13767,United Kingdom
17,13293,United Kingdom
18,17238,United Kingdom
19,16011,United Kingdom
20,13916,United Kingdom
21,15712,United Kingdom
22,15311,United Kingdom
23,16329,United Kingdom
24,15461,United Kingdom
25,17700,United Kingdom
26,14911,EIRE
27,15998,United Kingdom
28,12931,United Kingdom
29,15614,United Kingdom
30,12533,Germany
31,16128,United Kingdom
32,16714,United Kingdom
33,17984,United Kingdom
34,14748,United Kingdom
35,14871,United Kingdom
36,13394,United Kingdom
37,12615,France
38,16393,United Kingdom
39,14040,United Kingdom
40,15796,United Kingdom
41,12913,United Kingdom
42,15091,United Kingdom
43,15061,United Kingdom
44,14292,United Kingdom
45,14341,United Kingdom
46,17804,United Kingdom
47,14156,EIRE
48,13599,United Kingdom
49,13768,United Kingdom
50,17641,United Kingdom
51,17063,United Kingdom
52,13545,United Kingdom
53,16955,United Kingdom
54,15719,United Kingdom
55,12490,France
56,15793,United Kingdom
57,17056,United Kingdom
58,13526,United Kingdom
59,14654,United Kingdom
60,17998,United Kingdom
61,17742,United Kingdom
62,15326,United Kingdom
63,14478,United Kingdom
64,15005,United Kingdom
65,15967,United Kingdom
66,17611,United Kingdom
67,15051,United Kingdom
68,13097,United Kingdom
69,13590,United Kingdom
70,14030,United Kingdom
71,15984,United Kingdom
72,17091,United Kingdom
73,16887,United Kingdom
74,12921,United Kingdom
75,14621,United Kingdom
76,14543,United Kingdom
77,15945,United Kingdom
78,18037,United Kingdom
79,15662,United Kingdom
80,15380,United Kingdom
81,16422,United Kingdom
82,13711,United Kingdom
83,16150,United Kingdom
84,13110,United Kingdom
85,12836,United Kingdom
86,18287,United Kingdom
87,15254,United Kingdom
88,16620,United Kingdom
89,12758,Portugal
90,14558,United Kingdom
91,17961,United Kingdom
92,17485,United Kingdom
93,15601,United Kingdom
94,13585,United Kingdom
95,13442,United Kingdom
96,13381,United Kingdom
97,16763,United Kingdom
98,17345,United Kingdom
99,17243,United Kingdom
100,14865,United Kingdom
101,13819,United Kingdom
102,15750,United Kingdom
103,15808,United Kingdom
104,17191,United Kingdom
105,13748,United Kingdom
106,15265,United Kingdom
107,17428,United Kingdom
108,15485,United Kingdom
109,17246,United Kingdom
110,14061,United Kingdom
111,14108,United Kingdom
112,13648,United Kingdom
113,16563,United Kingdom
114,16701,United Kingdom
115,12842,United Kingdom
116,14302,United Kingdom
117,14135,United Kingdom
118,14831,United Kingdom
119,15602,United Kingdom
120,13777,United Kingdom
121,14000,United Kingdom
122,16823,United Kingdom
123,16163,United Kingdom
124,17193,United Kingdom
125,15759,United Kingdom
126,16131,United Kingdom
127,14560,United Kingdom
128,12523,France
129,17019,United Kingdom
130,17087,United Kingdom
131,14894,United Kingdom
132,15353,United Kingdom
133,16202,United Kingdom
134,16700,United Kingdom
135,17511,United Kingdom
136,12755,Japan
137,14299,United Kingdom
138,17949,United Kingdom
139,14799,United Kingdom
140,16550,United Kingdom
141,12980,United Kingdom
142,14425,United Kingdom
143,17818,United Kingdom
144,13623,United Kingdom
145,13654,United Kingdom
146,17189,United Kingdom
147,13269,United Kingdom
148,14653,United Kingdom
149,15542,United Kingdom
150,13564,United Kingdom
151,16467,United Kingdom
152,15833,United Kingdom
153,14527,United Kingdom
154,17476,United Kingdom
155,15287,United Kingdom
156,14440,United Kingdom
157,15680,United Kingdom
158,15581,United Kingdom
159,13740,United Kingdom
160,13070,United Kingdom
161,17768,United Kingdom
162,12948,United Kingdom
163,16797,United Kingdom
164,14667,United Kingdom
165,17377,United Kingdom
166,14467,United Kingdom
167,13457,United Kingdom
168,18108,United Kingdom
169,16210,United Kingdom
170,17867,United Kingdom
171,14669,United Kingdom
172,17909,United Kingdom
173,16086,United Kingdom
174,16711,United Kingdom
175,14739,United Kingdom
176,16233,United Kingdom
177,14204,United Kingdom
178,17606,United Kingdom
179,16126,United Kingdom
180,17412,United Kingdom
181,16525,United Kingdom
182,13313,United Kingdom
183,12435,Denmark
184,14549,United Kingdom
185,14106,United Kingdom
186,14980,United Kingdom
187,14396,United Kingdom
188,14122,United Kingdom
189,16987,United Kingdom
190,12471,Germany
191,17809,United Kingdom
192,15917,United Kingdom
193,14987,United Kingdom
194,14080,United Kingdom
195,16200,United Kingdom
196,15794,United Kingdom
197,15523,United Kingdom
198,15615,United Kingdom
199,18001,United Kingdom
200,17841,United Kingdom
201,13089,United Kingdom
202,15989,United Kingdom
203,17660,United Kingdom
204,12437,France
205,14841,United Kingdom
206,14646,Netherlands
207,15482,United Kingdom
208,16156,United Kingdom
209,17716,United Kingdom
210,12779,Poland
211,13611,United Kingdom
212,15255,United Kingdom
213,14771,United Kingdom
214,14838,United Kingdom
215,13979,United Kingdom
216,13800,United Kingdom
217,14483,United Kingdom
218,14915,United Kingdom
219,13753,United Kingdom
220,16301,United Kingdom
221,13931,United Kingdom
222,12705,Germany
223,17035,United Kingdom
224,15194,United Kingdom
225,14347,United Kingdom
226,12934,United Kingdom
